title,level1,level2,level3,description
"Bio Spelt Spaghetti Bolognese Demeter, 220g",Baby & kids,Baby & kids food,Meals & menus,"Bio Spelt Spaghetti Bolognese, 220g from Alnatura - A finely chunky, wholesome organic meal for babies from 8 months - with vegetables, wholemeal spaghetti and beef. Without added salt and made with ingredients from biodynamic agriculture (Demeter)."
"Bio Vegetable Rice with Mango and Chicken Demeter, 250g",Baby & kids,Baby & kids food,Meals & menus,"An organic baby menu in Demeter quality with brown rice, carrot, zucchini, mango and chicken meat. Chunky, encourages chewing. Made without added salt (ingredients naturally contain salt) and naturally gluten-free."
"Bio Pumpkin with Potatoes Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,Bio Pumpkin with Potatoes from Alnatura: An organic vegetable preparation in Demeter quality with pumpkin and potato. Finely pureed - ideal for the start of complementary feeding after the 4th month of life. Without added salt (ingredients naturally contain salt) and gluten-free.
"Bio Apple Blueberry Muesli Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely chopped organic porridge with apples, blueberries as well as whole grain cereal flakes. Made without added sugar (ingredients naturally contain sugar), Demeter quality. From the 8th month. Because the smallest are the biggest!"
"Bio 5 Grain Cereal Porridge, 250g",Baby & kids,Baby & kids food,Meals & menus,"Dairy-free organic cereal porridge from Alnatura made from oat, spelt, barley, wheat and rye wholemeal flour - for baby's nutrition from the 6th month of life. With 66 percent cereals in Demeter quality. Without added sugar (ingredients naturally contain sugar). Because the smallest are the biggest!."
"Bio Strawberry-Raspberry-Grape in Apple, 190g",Baby & kids,Baby & kids food,Meals & menus,A finely pureed organic fruit jar in Demeter quality for babies from 5 months of age. The Alnatura fruit jar strawberry-raspberry in apple tastes good as a snack or dessert and can refine the cereal porridge. It is made without added sugar (ingredients naturally contain sugar) and is gluten-free.
"Bio Apple Peach Banana 100% Fruit Demeter, 125g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed snack or dessert from Alnatura made from one hundred percent organic fruit. In Demeter quality, gluten-free and without added sugar (ingredients naturally contain sugar). For babies from the 5th month of life. Because the smallest are the biggest!"
"Bio Bircher Muesli Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"Alnatura BirchermÃ¼sli is a finely chopped organic fruit preparation with yogurt and whole grain flakes, produced in Demeter quality and without added sugar (ingredients naturally contain sugar)."
"Bio Salmon Preparation, 125g",Baby & kids,Baby & kids food,Meals & menus,Bio Salmon Preparation from Alnatura: A finely pureed organic salmon and potato mixture for stirring into a vegetable porridge. After the 4th month of life. Without added salt.
"Bio Rice Flakes Nature, 250g",Baby & kids,Baby & kids food,Meals & menus,"Tender whole-grain oat flakes are the basis of this organic porridge from Alnatura; bananas provide the subtle sweetness of the porridge, which can be prepared with warm and cold liquid. Suitable from 1 year. Because the smallest are the biggest."
"Bio Pear pure Demeter, 125g",Baby & kids,Baby & kids food,Meals & menus,A finely pureed snack or dessert made from just one ingredient: one hundred percent organic pear in Demeter quality. Gluten-free and no added sugar (ingredients naturally contain sugar). For babies after the 4th month of life.
"Bio Apple with Banana & Millet Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed gluten-free organic fruit and cereal porridge with apple, banana and millet; made without added sugar (ingredients naturally contain sugar) and in Demeter quality. As a snack or dessert from the 6th month of life."
"Bio Plum in Apple Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,Bio Plum in Apple from Alnatura: A finely pureed organic snack made from 100 percent fruit. No added sugar (ingredients naturally contain sugar) and Demeter quality. For feeding after the 4th month.
"Bio Green Vegetables with Millet Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"Bio Green Vegetables with Millet from Alnatura: A vegetarian organic menu after the 4th month - with green vegetables such as peas and zucchini and millet whole grain flakes. Finely pureed, without added salt and made with ingredients from Demeter agriculture."
"Bio Apple Raspberry Watermelon Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,A finely pureed organic porridge with one hundred percent fruit for nutrition from the 6th month - made in Demeter quality and without added sugar (ingredients naturally contain sugar).
"Bio Children Basic Muesli, 250g",Baby & kids,Baby & kids food,Meals & menus,"A fine organic basic muesli from Alnatura for children from 1 year, in organic quality. The product is unsweetened (ingredients naturally contain sugar), with whole grain cereal flakes and spelt flakes, without fruit. Mmmh...en Guete."
"Bio Apple, Pear & Passion Fruit puree, 100g",Baby & kids,Baby & kids food,Meals & menus,"With this new type of squeezy-bag, the passion of the Frechen Freunde for fruity snack creations now literally ends up in a mush: 100% organic, free of additives and packaged in over 80% renewable raw materials - perfect for on the go."
"Bio Apple, banana, spinach & cucumber puree, 100g",Baby & kids,Baby & kids food,Meals & menus,"Organic fruit and vegetable puree in a practical puree bag - Alfred Apple, Bob Banana, Simon Spinach & Carl Cucumber provide a vegetable-fruity, healthy children's snack: 100% organic, ideal for on the go, (almost) mess-free & free of additives."
"Bio Kids toothpaste strawberry, 50ml",Baby & kids,Hygiene & care,"Nose, ear & teeth care","Protection for children's teeth: the Organic Kids Tooth Gel Strawberry is tailored to the needs of children from 3 years. Silicon removes the plaque, green tea, chamomile and aloe vera sooth and care for the gums - and the natural strawberry flavor makes it easy to brush your teeth."
"Bio Kids toothpaste, 75ml",Baby & kids,Hygiene & care,"Nose, ear & teeth care","This Toothpaste Kids, 75ml by Lavera is perfect for children with milk teeth. Fluoride-free protection * for milk teeth: - removes plaque - prevents from caries - protects gums - has a mild, fruity taste * in case of regular cleaning"
"Kids toothbrush junior (+6 years), Pikachu",Baby & kids,Hygiene & care,"Nose, ear & teeth care",Dental care that makes you happy!
"Kids Toothpaste fluoride-free, 75ml",Baby & kids,Hygiene & care,"Nose, ear & teeth care","Lavera Toothpaste Kids was specially developed to prevent tooth decay in milk teeth and does not contain fluoride or colorants. The highly effective formula with organic calendula and calcium strengthens the teeth and provides fluoride-free all-round protection with regular brushing: dental plaque is gently removed, tooth decay is prevented and the gums are protected. And to make sure that the little ones really enjoy brushing their teeth, lavera Kids toothpaste has a child-friendly, mildly fruity taste."
"Baby fabric softener, 750ml",Baby & kids,Hygiene & care,Other care products,"Mild formula with natural chamomile extract, especially suitable for sensitive skin and allergy sufferers. Vegan. Frosch Baby, the special Frosch brand line for the very youngest: vegan, hypoallergenic: no colouring, mild perfume, suitable for allergy sufferers, dermatologically tested, baby-clean and baby-soft. The Frosch Baby Range offers cleaning and laundry care products which are gentle on the skin and do not pollute the environment. Bottle to 100% from old plastic. Recipe free of microplastic. Recipe free of microplastic, PET bottle made of 100% old plastic."
"Baby pre-wash stain remover spray, 300ml",Baby & kids,Hygiene & care,Other care products,"Powerful special stain remover with citrate (fruit acid salt). Reliably removes stubborn and dried stains from baby textiles. Frosch Baby, the special Frosch brand line for the very youngest: vegan, hypoallergenic: no colouring, mild perfume, suitable for allergy sufferers, dermatologically tested, baby-clean and baby-soft. The Frosch Baby Range offers cleaning and laundry care products which are gentle on the skin and do not pollute the environment. Bottle to 100% from old plastic. Recipe free of microplastic. Recipe free of microplastic, PET bottle made of 100% old plastic."
"Bocoton Bio Baby Cotton Swabs, 60 pieces",Baby & kids,Hygiene & care,Other care products,"These organic cotton cotton swabs are produced in France by the brand Bocoton. With their safety catch, the ears of baby can be cleaned gently."
"Bocoton Bio Cotton Pads for Baby, 60 pieces",Baby & kids,Hygiene & care,Other care products,"Organic absorbent cotton rectangles for baby, certified Ecocert and produced in France."
"Baby care cream fragrance-free, 75ml",Baby & kids,Hygiene & care,Skin & hair care,Baby care cream fragrance-free from Alviana Naturkosmetik: Cares for and protects sensitive baby skin. The mild formula offers reliable protection from head to toe. It intensively cares for the skin and protects it from drying out.
"Baby care milk calendula, 200ml",Baby & kids,Hygiene & care,Skin & hair care,The mild care milk cares for delicate baby and children's skin and provides moisture. It has a soothing effect on the skin and supports the natural skin function. Valuable organic almond oil and sesame oil keep the skin velvety soft. The lotion is easy to spread and absorbs well.
"Baby Care Shower & Shampoo Calendula, 200ml",Baby & kids,Hygiene & care,Skin & hair care,The mildly scented Weleda Calendula Wash Lotion & Shampoo with an extract of organic calendula cleanses delicate skin particularly gently and ensures easy to comb baby hair. Almond and organic sesame oil protect against dehydration. Mild plant-based washing substances cleanse particularly gently and are extra mild to the eyes.
"Baby diaper cream calendula, 75ml",Baby & kids,Hygiene & care,Skin & hair care,The rich baby cream cares for delicate skin in the diaper area. Skin-related wool wax and zinc oxide reliably protect against wetness. Almond oil and a valuable extract of organic calendula and chamomile care for irritated and reddened skin. Protects against wetness in the diaper area.
"Baby face & body cream, 100ml",Baby & kids,Hygiene & care,Skin & hair care,"Care Cream Baby Face & Body Rose consists of apricot oil and lime blossom hydrolate. Thanks to these ingredients, it gives a caring and moisturizing effect on the skin. Apply a small proportion of crÃ¨me on the dry skin of the face and body. Ingredients :
aqua, Rosa Damascena flower water *, Helianthus Annuus seed oil *, cetearyl alcohol, pentylene glycol, butyrospermum parkii butter *, cetearyl glucoside, Prunus Armeniaca kernel oil, Tilia Platyphyllos flower water *, glycerin *, Rosa Damascena flower oil, Xanthan gum, tocopherol, sodium stearoyl glutamate, perfume, Chondrus Crispus linalool **, citric acid, geraniol **, citronellol **, benzyl benzoate **, limonene **, * certified organic, ** part of natural essential oils"
"Baby face cream calendula, 50ml",Baby & kids,Hygiene & care,Skin & hair care,The mild cream nourishes small faces velvety soft and protects against dehydration. Skin-related wool wax and organic almond oil protect the delicate skin of the face. A valuable extract of organic calendula has a skin-soothing effect. Also suitable for sensitive adult skin.
"Baby face cream with white mallow, 50ml",Baby & kids,Hygiene & care,Skin & hair care,"The White Mallow Baby Face Cream, without perfume, is designed for ultra-sensitive skin. It intensely cares for and moisturizes."
Baby hairbrush Care&Protection,Baby & kids,Hygiene & care,Skin & hair care,The baby hairbrush from TRISA is equipped with fine bristles that are ideal for gentle daily baby hair care.
"Baby lotion with white mallow, 200ml",Baby & kids,Hygiene & care,Skin & hair care,"The fragrance-free Baby Body Milk with White Mallow is particularly suitable for highly sensitive skin. It has a soothing, moisturizing and pleasantly refreshing effect on the skin."
"Baby wash lotion & shampoo fragrance-free, 200ml",Baby & kids,Hygiene & care,Skin & hair care,"The fragrance-free duo of wash lotion & shampoo with extra mild surfactants is optimally adapted to the sensitive baby skin. The formula is extra gentle on sensitive baby skin and does not dry it out. Thanks to the delicate foam, it reliably cleanses the skin and gently removes dirt. Due to the contained refatting complex and organic calendula water, the baby's skin is caressingly soft after use."
"Baby well-being balm, 30ml",Baby & kids,Hygiene & care,Skin & hair care,"Oh yeah- the little nose is red and sensitive? A soothing and caring companion of the cold season for breast and back. The tender herbal balsam based on bio apricot oil and bio sunflower oil is great if it could just go better. Contents:
Helianthus Annuus Seed Oil*, Glycerin, Prunus Amygdalus dulcis oil*, Prunus Armenica Kernel Oil*, Sucrose Laurate,Sucrose Stearate, Citrus Aurantium Dulcis Fruit Water*, Thymus Vulgaris Flower/Leaf Oil*, Tocopherol, Linalool**. * certified organic, ** part of natural essential oils"
"Bio Kids shampoo, apple-pear, 500ml",Baby & kids,Hygiene & care,Skin & hair care,"Organic shampoo for children with a fruity apple and pear scent, produced in France by the Coslys brand. Its formula is specially designed to gently detangle the hair of children."
"Kids 2in1 Shower & Shampoo, fresh Mint, 150ml",Baby & kids,Hygiene & care,Skin & hair care,"Gentle and protective 2in1 cleanser for delicate skin and hair - specially designed for, and with, children. For a fresh and sweet cleansing pleasure straight from nature, 100% natural origin."
"Kids 2in1 shower & shampoo, fruity orange, 150ml",Baby & kids,Hygiene & care,Skin & hair care,"Gentle and protective 2in1 cleanser for delicate skin and hair - specially designed for, and with, children. For a fresh and sweet cleansing pleasure straight from nature, 100% natural origin."
"Kids 2in1 shower & shampoo, sparkling Lime, 150ml",Baby & kids,Hygiene & care,Skin & hair care,"Gentle and protective 2in1 cleanser for delicate skin and hair - specially designed for, and with, children. For a fresh and sweet cleansing pleasure straight from nature, 100% natural origin."
"Kids bath care ""I love you"", 50g",Baby & kids,Hygiene & care,Skin & hair care,"A warm hug after a long day: the care bath ""love you!"" warming Heart and soul with fruity raspberry fragrance and natural Palmarosa essential oil. Organic sesame oil and wheat protein nourish the baby's skin, and the powder bath is 100% vegan."
"Bio moisturizing cream sensitive baby & child, 75ml",Baby & kids,Hygiene & care,Skin & hair care,The organic Moisturizing CrÃ¨me extra sensitive protects the soft baby skin from dehydration and moisturizes it. The high-quality bio ingredients effectively care for sensitive skin prone to neurodermatitis.
"BEBA Bio 2, Bio Follow-Up Milk, after 6 Months, 800g",Baby & kids,Baby & kids food,"Starter, follow-on formulas & cereals","Organic follow-on milk The certified organic follow-on milk BEBA Bio 2 is suitable for special nutrition of infants after 6 months. - Made from Swiss organic milk; - Patented formula with L. reuteri (see list of ingredients); - Contains DHA (according to law), a fatty acid naturally present in breast milk. Docosahexaenoic acid (DHA) intake contributes to the normal development of vision in infants up to 12 months of age (at a daily intake of 100 mg DHA). - Contains vitamins C and D (according to law), which contribute to normal functioning of the immune system; - Without palm oil. BEBA Bio 2 is suitable as part of a varied and balanced diet and as part of a healthy lifestyle. It is only part of a mixed diet and must not be used as a substitute for breast milk during the first 6 months. However, the individual growth and development needs of your baby may require ma."
